WARNING 2025-06-02 12:27:23,783 oracle_11g 17952 14140 未找到SQL统计表格
INFO 2025-06-02 13:32:26,082 oracle_11g 17308 5752 找到 3 个AWR锚点，尝试作为Oracle 11g解析
ERROR 2025-06-02 13:32:26,089 oracle_11g 17308 5752 检查Oracle 11g兼容性时出错: expected string or bytes-like object, got 'NoneType'
INFO 2025-06-02 13:32:26,092 oracle_11g 17308 5752 检测到Oracle 11g AWR格式
INFO 2025-06-02 13:32:26,093 oracle_11g 17308 5752 检测到Oracle 11g AWR格式
INFO 2025-06-02 13:32:26,093 oracle_11g 17308 5752 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:32:26,108 oracle_11g 17308 5752 未找到数据库信息表格
WARNING 2025-06-02 13:32:26,128 oracle_11g 17308 5752 无法解析启动时间: invalid-time
INFO 2025-06-02 13:32:26,133 oracle_11g 17308 5752 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:32:26,138 oracle_11g 17308 5752 未找到数据库信息表格
WARNING 2025-06-02 13:32:26,185 oracle_11g 17308 5752 未找到Load Profile表格
WARNING 2025-06-02 13:32:26,405 oracle_11g 17308 5752 等待事件表格解析为空
INFO 2025-06-02 13:32:26,410 oracle_11g 17308 5752 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:32:26,435 oracle_11g 17308 5752 未找到等待事件表格
WARNING 2025-06-02 13:32:26,437 oracle_11g 17308 5752 未找到SQL统计表格
INFO 2025-06-02 13:42:36,183 oracle_11g 4336 17556 找到 3 个AWR锚点，尝试作为Oracle 11g解析
ERROR 2025-06-02 13:42:36,191 oracle_11g 4336 17556 检查Oracle 11g兼容性时出错: expected string or bytes-like object, got 'NoneType'
INFO 2025-06-02 13:42:36,196 oracle_11g 4336 17556 检测到Oracle 11g AWR格式
INFO 2025-06-02 13:42:36,197 oracle_11g 4336 17556 检测到Oracle 11g AWR格式
INFO 2025-06-02 13:42:36,197 oracle_11g 4336 17556 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:42:36,216 oracle_11g 4336 17556 未找到数据库信息表格
WARNING 2025-06-02 13:42:36,239 oracle_11g 4336 17556 无法解析启动时间: invalid-time
INFO 2025-06-02 13:42:36,245 oracle_11g 4336 17556 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:42:36,251 oracle_11g 4336 17556 未找到数据库信息表格
WARNING 2025-06-02 13:42:36,324 oracle_11g 4336 17556 未找到Load Profile表格
WARNING 2025-06-02 13:42:36,406 oracle_11g 4336 17556 等待事件表格解析为空
INFO 2025-06-02 13:42:36,413 oracle_11g 4336 17556 检测到Oracle 11g AWR格式
WARNING 2025-06-02 13:42:36,453 oracle_11g 4336 17556 未找到等待事件表格
WARNING 2025-06-02 13:42:36,457 oracle_11g 4336 17556 未找到SQL统计表格
